[0.000000] (-) TimerEvent: {}
[0.004440] (-) JobUnselected: {'identifier': 'rqt_gui_cpp'}
[0.004486] (-) JobUnselected: {'identifier': 'rqt_gui_py'}
[0.004531] (-) JobUnselected: {'identifier': 'rqt_image_view'}
[0.004576] (-) JobUnselected: {'identifier': 'rqt_py_common'}
[0.004621] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.004667] (-) JobUnselected: {'identifier': 'topic_monitor'}
[0.004711] (-) JobUnselected: {'identifier': 'topic_statistics_demo'}
[0.004756] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.004801] (-) JobUnselected: {'identifier': 'vision_opencv'}
[0.004855] (camera_ros) JobQueued: {'identifier': 'camera_ros', 'dependencies': OrderedDict()}
[0.004911] (stamp_and_split_cam1) JobQueued: {'identifier': 'stamp_and_split_cam1', 'dependencies': OrderedDict()}
[0.004960] (camera_ros) JobStarted: {'identifier': 'camera_ros'}
[0.098801] (-) TimerEvent: {}
[0.101376] (stamp_and_split_cam1) JobStarted: {'identifier': 'stamp_and_split_cam1'}
[0.197365] (camera_ros) JobProgress: {'identifier': 'camera_ros', 'progress': 'cmake'}
